epoch,lr-AdamW,step,test_cer,test_edit_similarity,test_line_accuracy,test_loss,test_valid_character_rate,test_wer,train_loss_epoch,train_loss_step,val_cer,val_edit_similarity,val_line_accuracy,val_loss,val_valid_character_rate,val_wer
,0.0001,0,,,,,,,,,,,,,,
0,,0,,,,,,,,44.112117767333984,,,,,,
,0.0001,1,,,,,,,,,,,,,,
0,,1,,,,,,,,34.086429595947266,,,,,,
0,,1,,,,,,,,,1.0,0.0,0.0,38.94200897216797,1.0,1.0
0,,1,,,,,,,39.099273681640625,,,,,,,
1,,2,1.0,0.0,0.0,32.290122985839844,1.0,1.0,,,,,,,,
